Name,Date,Rate,Votes,Genre,Duration,Certificate,Nudity,Violence,Profanity,Alcohol,Frightening
No Time to Die,2021,7.6,107163,"Action, Adventure, Thriller",163,PG-13,Mild,Moderate,Mild,Mild,Moderate
The Guilty,2021,6.3,64375,"Crime, Drama, Thriller",90,R,None,None,Severe,None,Moderate
The Many Saints of Newark,2021,6.4,27145,"Crime, Drama",120,R,Moderate,Severe,Severe,Moderate,Moderate
Venom: Let There Be Carnage,2021,6.4,30443,"Action, Adventure, Sci-Fi",97,PG-13,None,Moderate,Moderate,Mild,Moderate
Dune,2021,8.3,84636,"Action, Adventure, Drama",155,PG-13,None,Moderate,None,Mild,Moderate
Free Guy,2021,7.3,153835,"Action, Adventure, Comedy",115,PG-13,Mild,Moderate,Moderate,None,Mild
Black Widow,2021,6.8,246603,"Action, Adventure, Sci-Fi",134,PG-13,None,Moderate,Mild,Mild,Moderate
The Last Duel,2021,7.7,6498,"Action, Drama, History",152,R,Severe,Severe,Moderate,Mild,Severe
Shang-Chi and the Legend of the Ten Rings,2021,7.9,109552,"Action, Adventure, Fantasy",132,PG-13,None,Moderate,Mild,Mild,Mild
Spectre,2015,6.8,407514,"Action, Adventure, Thriller",148,PG-13,Mild,Moderate,Mild,Mild,Moderate
Casino Royale,2006,8.0,613873,"Action, Adventure, Thriller",144,PG-13,Mild,Moderate,Mild,Mild,Moderate
Halloween Kills,2021,6.1,20383,"Horror, Thriller",105,R,None,Severe,Severe,Mild,Severe
There's Someone Inside Your House,2021,4.8,7724,"Horror, Mystery, Thriller",96,R,Mild,Severe,Moderate,Moderate,Moderate
Malignant,2021,6.3,53310,"Crime, Horror, Mystery",111,R,None,Severe,Moderate,None,Severe
The Night House,2020,6.5,14936,"Horror, Mystery, Thriller",107,R,Mild,Moderate,Moderate,Moderate,Severe
Venom,2018,6.7,414787,"Action, Adventure, Sci-Fi",112,PG-13,Mild,Moderate,Moderate,Mild,Moderate
Skyfall,2012,7.8,658977,"Action, Adventure, Thriller",143,PG-13,Mild,Moderate,Mild,Mild,Moderate
The Addams Family 2,2021,5.3,3798,"Animation, Adventure, Comedy",93,PG,Mild,Moderate,None,None,Mild
Titane,2021,7.2,6076,"Drama, Horror, Sci-Fi",108,R,Severe,Severe,Severe,Moderate,Severe
Old,2021,5.8,52713,"Drama, Horror, Mystery",108,PG-13,Mild,Moderate,Mild,None,Moderate
Hocus Pocus,1993,6.9,110741,"Comedy, Family, Fantasy",96,PG,Mild,Mild,Mild,Mild,Moderate
Dune,1984,6.4,142157,"Action, Adventure, Sci-Fi",137,PG-13,Mild,Moderate,None,Mild,Moderate
Den skyldige,2018,7.5,52965,"Crime, Drama, Thriller",85,R,None,None,Mild,None,Moderate
Quantum of Solace,2008,6.6,424649,"Action, Adventure, Thriller",106,PG-13,Mild,Moderate,Mild,Mild,Moderate
The Suicide Squad,2021,7.3,224344,"Action, Adventure, Comedy",132,R,Moderate,Severe,Severe,Moderate,Severe
Cruella,2021,7.4,174071,"Adventure, Comedy, Crime",134,PG-13,None,Mild,Mild,Mild,Mild
Halloween,1978,7.7,248788,"Horror, Thriller",91,R,Moderate,Moderate,Mild,Mild,Severe
Infinite,2021,5.5,32451,"Action, Sci-Fi, Thriller",106,PG-13,None,Moderate,Moderate,Mild,Moderate
The Green Knight,2021,6.6,53565,"Adventure, Drama, Fantasy",130,R,Moderate,Moderate,None,Mild,Moderate
The French Dispatch,2021,7.4,1370,"Comedy, Drama, Romance",108,R,Moderate,Mild,Moderate,Moderate,Mild
The Card Counter,2021,6.2,9236,"Crime, Drama, Thriller",111,R,Moderate,Moderate,Moderate,Mild,Severe
Lamb,2021,6.7,2251,"Drama, Horror, Mystery",106,R,Moderate,Moderate,Mild,Mild,Moderate
After We Fell,2021,5.0,2719,Drama,98,R,Moderate,Mild,Moderate,Moderate,Mild
The Harder They Fall,2021,5.2,315,"Drama, Western",130,R,Mild,Severe,Moderate,Moderate,Severe
Promising Young Woman,2020,7.5,132936,"Crime, Drama, Thriller",113,R,Mild,Moderate,Severe,Moderate,Moderate
Queenpins,2021,6.2,3525,"Comedy, Crime",110,R,None,None,Moderate,None,None
Candyman,2021,6.0,35936,"Horror, Thriller",91,R,None,Severe,Moderate,Mild,Severe
The Starling,2021,6.3,6994,"Comedy, Drama",102,PG-13,Mild,None,Mild,Mild,None
Kate,2021,6.3,41301,"Action, Adventure, Crime",106,R,Mild,Severe,Severe,Mild,Moderate
Knives Out,2019,7.9,537031,"Comedy, Crime, Drama",130,PG-13,None,Mild,Moderate,Mild,Mild
Cry Macho,2021,5.8,13148,"Drama, Thriller, Western",104,PG-13,Mild,Mild,Moderate,Mild,Mild
Till Death,2021,5.8,12586,"Horror, Thriller",88,R,Mild,Severe,Moderate,Mild,Moderate
The Voyeurs,2021,5.9,10281,"Drama, Mystery, Thriller",120,R,Severe,Moderate,Mild,Moderate,Moderate
Dear Evan Hansen,2021,6.0,5468,"Drama, Musical",137,PG-13,Mild,None,Mild,Mild,Mild
Gisaengchung,2019,8.6,669620,"Comedy, Drama, Thriller",132,R,Moderate,Severe,Moderate,Mild,Moderate
Last Night in Soho,2021,7.4,1122,"Drama, Horror, Mystery",116,R,Moderate,Moderate,Moderate,Mild,Moderate
Titanic,1997,7.8,1096676,"Drama, Romance",194,PG-13,Moderate,Moderate,Moderate,Mild,Severe
F9,2021,5.2,97696,"Action, Adventure, Crime",143,PG-13,None,Moderate,Mild,Mild,Moderate
365 dni,2020,3.3,67739,"Drama, Romance",114,R,Severe,Mild,Moderate,Moderate,Mild
Heat,1995,8.2,609446,"Crime, Drama, Thriller",170,R,Mild,Severe,Severe,Mild,Moderate
Muppets Haunted Mansion,2021,6.7,2929,"Adventure, Comedy, Family",52,PG,None,Mild,Mild,None,Moderate
Cinderella,2021,4.2,33916,"Adventure, Comedy, Family",113,PG,Mild,None,Mild,None,None
Halloween,2018,6.5,132934,"Crime, Horror, Thriller",106,R,Mild,Severe,Moderate,Mild,Severe
The Addams Family,2019,5.8,33649,"Animation, Adventure, Comedy",86,PG,None,Mild,None,Mild,Mild
Scream,1996,7.3,304350,"Horror, Mystery",111,R,Mild,Severe,Moderate,Mild,Severe
Once Upon a Time... in Hollywood,2019,7.6,643564,"Comedy, Drama",161,R,Mild,Severe,Severe,Moderate,Moderate
My Little Pony: A New Generation,2021,7.0,2247,"Animation, Adventure, Comedy",90,PG,None,Mild,None,None,Mild
Jungle Cruise,2021,6.6,113396,"Action, Adventure, Comedy",127,PG-13,None,Moderate,None,Mild,Moderate
Intrusion,2021,5.2,8561,"Drama, Thriller",92,PG-13,None,Mild,Mild,Mild,Moderate
Blade Runner 2049,2017,8.0,502751,"Action, Drama, Mystery",164,R,Moderate,Moderate,Moderate,Mild,Moderate
The Matrix,1999,8.7,1767660,"Action, Sci-Fi",136,R,Mild,Moderate,Moderate,Mild,Moderate
The Wolf of Wall Street,2013,8.2,1271608,"Biography, Comedy, Crime",180,R,Severe,Moderate,Severe,Severe,Moderate
The Shawshank Redemption,1994,9.3,2474122,Drama,142,R,Mild,Moderate,Severe,Mild,Moderate
Joker,2019,8.4,1077534,"Crime, Drama, Thriller",122,R,Mild,Severe,Moderate,Moderate,Severe
Harry Potter and the Sorcerer's Stone,2001,7.6,702396,"Adventure, Family, Fantasy",152,PG,None,Mild,Mild,None,Mild
Zodiac,2007,7.7,499163,"Crime, Drama, Mystery",157,R,Mild,Moderate,Moderate,Moderate,Severe
Snake Eyes: G.I. Joe Origins,2021,5.4,24928,"Action, Adventure, Fantasy",121,PG-13,None,Moderate,Moderate,Mild,Moderate
The Addams Family,1991,6.9,143815,"Comedy, Fantasy",99,PG-13,Mild,Moderate,Mild,Mild,Mild
Midsommar,2019,7.1,256462,"Drama, Horror, Mystery",148,R,Severe,Severe,Moderate,Severe,Severe
Spencer,2021,6.7,1044,"Biography, Drama, Romance",111,R,Severe,None,Severe,Moderate,Severe
Dave Chappelle: The Closer,2021,8.1,12454,Comedy,72,R,Moderate,None,Severe,Mild,Mild
Avengers: Endgame,2019,8.4,947812,"Action, Adventure, Drama",181,PG-13,None,Moderate,Mild,Mild,Moderate
Wrath of Man,2021,7.2,117483,"Action, Crime, Thriller",119,R,Mild,Severe,Severe,Mild,Severe
The Duff,2015,6.5,89023,"Comedy, Romance",101,PG-13,Mild,Mild,Moderate,Mild,None
A Nightmare on Elm Street,1984,7.5,218811,Horror,91,R,Mild,Severe,Moderate,Mild,Severe
Tenet,2020,7.4,427885,"Action, Sci-Fi, Thriller",150,PG-13,None,Moderate,Mild,Mild,Moderate
Busanhaeng,2016,7.6,190528,"Action, Horror, Thriller",118,R,None,Severe,Mild,None,Severe
Gladiator,2000,8.5,1403705,"Action, Adventure, Drama",155,R,Mild,Severe,Mild,None,Severe
Escape Room: Tournament of Champions,2021,5.8,24494,"Action, Adventure, Horror",88,PG-13,None,Mild,Mild,None,Moderate
GoldenEye,1995,7.2,247470,"Action, Adventure, Thriller",130,PG-13,Moderate,Moderate,Mild,Mild,Moderate
The Godfather,1972,9.2,1709439,"Crime, Drama",175,R,Moderate,Severe,Moderate,Mild,Moderate
Rocketman,2019,7.3,159046,"Biography, Drama, Music",121,R,Moderate,Mild,Moderate,Severe,Moderate
Beetle Juice,1988,7.5,277189,"Comedy, Fantasy",92,PG,Mild,Moderate,Moderate,Mild,Moderate
Friendzone,2021,5.9,1379,"Comedy, Romance",88,R,Moderate,None,Mild,Mild,None
The Nightmare Before Christmas,1993,8.0,311747,"Animation, Family, Fantasy",76,PG,None,Mild,None,None,Moderate
Interstellar,2014,8.6,1624116,"Adventure, Drama, Sci-Fi",169,PG-13,None,Mild,Mild,None,Moderate
The Rocky Horror Picture Show,1975,7.4,139351,"Comedy, Horror, Musical",100,R,Moderate,Mild,Mild,Mild,Mild
Pig,2021,6.9,33733,"Drama, Thriller",92,R,None,Moderate,Moderate,Mild,Moderate
Batoru rowaiaru,2000,7.6,176302,"Action, Adventure, Drama",114,R,Mild,Severe,Mild,Mild,Severe
Halloween,2007,6.1,113922,Horror,109,R,Severe,Severe,Severe,Mild,Severe
Knock Knock,2015,4.9,89175,"Drama, Thriller",99,R,Severe,Moderate,Severe,Mild,Moderate
The Dark Knight,2008,9.0,2428117,"Action, Crime, Drama",152,PG-13,None,Moderate,Mild,Mild,Severe
The Protégé,2021,6.1,13778,"Action, Crime, Thriller",109,R,Mild,Severe,Moderate,Mild,Moderate
A Quiet Place Part II,2020,7.3,165973,"Drama, Horror, Sci-Fi",97,PG-13,None,Moderate,Mild,None,Severe
Don't Breathe 2,2021,6.1,29241,"Action, Drama, Horror",98,R,None,Severe,Moderate,Mild,Severe
House of Wax,2005,5.4,119934,"Horror, Thriller",113,R,Mild,Severe,Moderate,Mild,Severe
Wonder Woman 1984,2020,5.4,233753,"Action, Adventure, Fantasy",151,PG-13,Mild,Mild,Mild,None,Mild
Zack Snyder's Justice League,2021,8.1,340603,"Action, Adventure, Fantasy",242,R,None,Moderate,Mild,Mild,Moderate
Nobody,2021,7.4,164357,"Action, Crime, Drama",92,R,None,Severe,Severe,Mild,Severe
The Tomorrow War,2021,6.6,170217,"Action, Adventure, Drama",138,PG-13,None,Moderate,Mild,Mild,Moderate
1917,2019,8.3,497055,"Action, Drama, War",119,R,None,Severe,Moderate,Mild,Severe
The Hunger Games,2012,7.2,874403,"Action, Adventure, Sci-Fi",142,PG-13,None,Moderate,Mild,Mild,Moderate
Jennifer's Body,2009,5.3,125403,"Comedy, Horror",102,R,Mild,Severe,Severe,Mild,Severe
The Power of the Dog,2021,6.6,2853,"Drama, Romance, Western",126,R,Moderate,Mild,Mild,Moderate,Mild
Halloween II,1981,6.5,81417,Horror,92,R,Moderate,Severe,Moderate,Mild,Severe
Trick 'r Treat,2007,6.8,86032,"Comedy, Horror",82,R,Moderate,Severe,Moderate,Mild,Moderate
Prisoners,2013,8.1,641220,"Crime, Drama, Mystery",153,R,None,Severe,Severe,Mild,Severe
Hereditary,2018,7.3,270994,"Drama, Horror, Mystery",127,R,Moderate,Severe,Moderate,Moderate,Severe
Black as Night,2021,3.9,1087,"Drama, Horror, Thriller",87,R,None,Mild,Moderate,Moderate,Moderate
The Good Girl,2002,6.4,44437,"Drama, Romance",93,R,Moderate,Moderate,Moderate,Moderate,Mild
It,2017,7.3,491621,Horror,135,R,Mild,Severe,Severe,Mild,Severe
The Father,2020,8.3,101279,Drama,97,PG-13,None,Mild,Mild,Mild,Moderate
Die Another Day,2002,6.1,212253,"Action, Adventure, Thriller",133,PG-13,Moderate,Moderate,Mild,Mild,Moderate
Inception,2010,8.8,2178860,"Action, Adventure, Sci-Fi",148,PG-13,None,Moderate,Mild,Mild,Moderate
Doctor Sleep,2019,7.3,167153,"Drama, Fantasy, Horror",152,R,Mild,Severe,Moderate,Moderate,Severe
Pulp Fiction,1994,8.9,1915230,"Crime, Drama",154,R,Moderate,Severe,Severe,Severe,Moderate
The Departed,2006,8.5,1244747,"Crime, Drama, Thriller",151,R,Moderate,Severe,Severe,Moderate,Severe
Spider-Man,2002,7.3,728050,"Action, Adventure, Sci-Fi",121,PG-13,Mild,Moderate,Mild,None,Moderate
Reminiscence,2021,5.9,36510,"Mystery, Romance, Sci-Fi",116,PG-13,Mild,Moderate,Mild,Moderate,Moderate
Scary Movie,2000,6.2,243587,Comedy,88,R,Severe,Severe,Severe,Moderate,Moderate
Mortal Kombat,2021,6.1,145124,"Action, Adventure, Fantasy",110,R,None,Severe,Severe,Mild,Severe
Ghostbusters,1984,7.8,374701,"Action, Comedy, Fantasy",105,PG,Mild,Mild,Moderate,Mild,Mild
Fight Club,1999,8.8,1948261,Drama,139,R,Moderate,Severe,Severe,Moderate,Severe
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1736338,"Action, Adventure, Drama",178,PG-13,None,Moderate,None,Mild,Moderate
Mean Girls,2004,7.0,356752,Comedy,97,PG-13,Moderate,Mild,Moderate,Mild,Mild
The Shining,1980,8.4,946683,"Drama, Horror",146,R,Moderate,Severe,Moderate,Mild,Severe
Léon,1994,8.5,1085586,"Action, Crime, Drama",110,R,Mild,Severe,Moderate,Moderate,Moderate
The Manor,2021,5.3,1677,Horror,81,R,None,None,Mild,None,Mild
Bingo Hell,2021,4.3,1139,"Comedy, Fantasy, Horror",85,R,None,Moderate,Moderate,Mild,Mild
Django Unchained,2012,8.4,1432853,"Drama, Western",165,R,Moderate,Severe,Severe,Mild,Severe
Friday the 13th,1980,6.4,129391,"Horror, Mystery, Thriller",95,R,Moderate,Severe,Mild,Mild,Severe
Gone Girl,2014,8.1,912613,"Drama, Mystery, Thriller",149,R,Severe,Severe,Severe,Mild,Severe
"If I Can't Have Love, I Want Power",2021,7.0,1061,"Drama, Fantasy, Horror",53,R,Severe,Moderate,Mild,Mild,Mild
Poltergeist,1982,7.3,152037,"Horror, Thriller",114,PG,Mild,Moderate,Mild,Moderate,Severe
The Silence of the Lambs,1991,8.6,1336681,"Crime, Drama, Thriller",118,R,Moderate,Severe,Moderate,None,Severe
Love & Other Drugs,2010,6.7,190511,"Comedy, Drama, Romance",112,R,Severe,Mild,Severe,Moderate,Mild
Hush,2016,6.6,117663,"Horror, Thriller",82,R,None,Severe,Moderate,None,Severe
Gunpowder Milkshake,2021,6.0,30807,"Action, Crime, Thriller",114,R,None,Severe,Moderate,Mild,Moderate
Candyman,1992,6.7,83944,"Horror, Thriller",99,R,Moderate,Severe,Moderate,Mild,Severe
Thir13en Ghosts,2001,5.6,83586,"Fantasy, Horror",91,R,Moderate,Severe,Moderate,None,Severe
Mad Max: Fury Road,2015,8.1,930996,"Action, Adventure, Sci-Fi",120,R,Mild,Moderate,Mild,Mild,Moderate
Man on Fire,2004,7.7,345641,"Action, Crime, Drama",146,R,Mild,Severe,Moderate,Mild,Severe
Tusk,2014,5.3,49430,"Comedy, Drama, Horror",102,R,Moderate,Severe,Severe,Mild,Severe
The World Is Not Enough,1999,6.4,194551,"Action, Adventure, Crime",128,PG-13,Moderate,Moderate,Mild,Mild,Moderate
Halloweentown,1998,6.7,15617,"Adventure, Comedy, Family",84,G,None,Mild,None,None,Mild
On Her Majesty's Secret Service,1969,6.7,86280,"Action, Adventure, Thriller",142,PG,Mild,Moderate,Mild,Mild,Moderate
Grown Ups,2010,6.0,237673,Comedy,102,PG-13,Mild,Mild,Mild,Mild,None
Fear Street: 1994,2021,6.2,65629,"Drama, Horror, Mystery",107,R,Mild,Severe,Moderate,Moderate,Moderate
Goodfellas,1990,8.7,1074102,"Biography, Crime, Drama",146,R,Mild,Severe,Severe,Severe,Severe
Inglourious Basterds,2009,8.3,1338008,"Adventure, Drama, War",153,R,Mild,Severe,Severe,Mild,Severe
CODA,2021,8.1,21506,"Drama, Music",111,PG-13,Mild,None,Moderate,Mild,None
The Goonies,1985,7.8,256589,"Adventure, Comedy, Family",114,PG,Mild,Mild,Moderate,Mild,Mild
The Fifth Element,1997,7.7,450359,"Action, Adventure, Sci-Fi",126,PG-13,Moderate,Mild,Mild,Mild,Mild
Once Upon a Time in America,1984,8.3,330699,"Crime, Drama",229,R,Severe,Severe,Severe,Severe,Severe
Nightbooks,2021,5.8,5795,"Family, Fantasy, Horror",103,PG,None,Mild,Mild,None,Moderate
The Lighthouse,2019,7.5,170825,"Drama, Fantasy, Horror",109,R,Moderate,Severe,Moderate,Moderate,Severe
The Courier,2020,7.1,36654,"Drama, History, Thriller",112,PG-13,Mild,Mild,Mild,Mild,Mild
Love Strikes Twice,2021,7.2,458,"Comedy, Mystery, Romance",84,G,None,None,None,None,None
Ghost Ship,2002,5.5,97452,Horror,91,R,Moderate,Severe,Severe,Mild,Severe
Little Women,2019,7.8,167482,"Drama, Romance",135,PG,None,None,None,Mild,None
Forrest Gump,1994,8.8,1912582,"Drama, Romance",142,PG-13,Moderate,Moderate,Moderate,Moderate,Moderate
Star Trek,2009,7.9,590763,"Action, Adventure, Sci-Fi",127,PG-13,Mild,Moderate,Mild,Mild,Moderate
Addams Family Values,1993,6.8,86264,"Comedy, Fantasy",94,PG-13,Mild,Moderate,Mild,Mild,Moderate
He's All That,2021,4.3,19528,"Comedy, Romance",88,PG-13,Mild,Mild,Moderate,Mild,Mild
Kingsman: The Secret Service,2014,7.7,618626,"Action, Adventure, Comedy",129,R,Mild,Severe,Severe,Mild,Moderate
The Conjuring,2013,7.5,474766,"Horror, Mystery, Thriller",112,R,None,Moderate,Mild,None,Severe
Oldeuboi,2003,8.4,542984,"Action, Drama, Mystery",120,R,Severe,Severe,Moderate,Mild,Severe
Live and Let Die,1973,6.8,102320,"Action, Adventure, Thriller",121,PG,Mild,Moderate,Mild,Mild,Moderate
Corpse Bride,2005,7.3,255946,"Animation, Drama, Family",77,PG,None,Mild,None,Mild,Moderate
Catch Me If You Can,2002,8.1,890725,"Biography, Crime, Drama",141,PG-13,Moderate,Mild,Moderate,Mild,Mild
Twilight,2008,5.2,443943,"Drama, Fantasy, Romance",122,PG-13,Mild,Moderate,Mild,None,Mild
Deadpool,2016,8.0,952331,"Action, Adventure, Comedy",108,R,Severe,Severe,Severe,Mild,Moderate
The Eyes of Tammy Faye,2021,7.0,1776,"Biography, Drama, History",126,PG-13,Mild,None,Mild,Moderate,Mild
American Night,2021,5.2,785,"Action, Thriller",123,R,Moderate,Severe,Mild,Mild,Severe
Spider-Man: Far from Home,2019,7.4,384196,"Action, Adventure, Sci-Fi",129,PG-13,None,Moderate,Mild,None,Moderate
Suicide Squad,2016,5.9,653390,"Action, Adventure, Fantasy",123,PG-13,Mild,Moderate,Moderate,Mild,Moderate
American Psycho,2000,7.6,528312,"Comedy, Crime, Drama",101,R,Severe,Severe,Severe,Severe,Severe
Boss Level,2020,6.8,51197,"Action, Mystery, Sci-Fi",94,R,None,Severe,Severe,Mild,Moderate
Bohemian Rhapsody,2018,7.9,490124,"Biography, Drama, Music",134,PG-13,Mild,None,Mild,Moderate,Mild
La vie d'Adèle,2013,7.7,144843,"Drama, Romance",180,R,Severe,Mild,Moderate,Mild,Mild
Casper,1995,6.1,127534,"Comedy, Family, Fantasy",100,PG,None,Mild,Moderate,Mild,Mild
Voyagers,2021,5.4,13541,"Adventure, Sci-Fi, Thriller",108,PG-13,Mild,Moderate,Mild,None,Mild
Escape Room,2019,6.4,107030,"Action, Adventure, Horror",99,PG-13,None,Moderate,Mild,Mild,Moderate
The Conjuring: The Devil Made Me Do It,2021,6.3,87963,"Horror, Mystery, Thriller",112,R,None,Moderate,Mild,Mild,Severe
Zombieland: Double Tap,2019,6.7,160987,"Action, Comedy, Horror",99,R,Mild,Severe,Severe,Moderate,Moderate
Hubie Halloween,2020,5.2,44058,"Comedy, Mystery",103,PG-13,Mild,Mild,Mild,Mild,Mild
Those Who Wish Me Dead,2021,6.0,46064,"Action, Crime, Drama",100,R,None,Severe,Severe,None,Moderate
After,2019,5.3,46557,"Drama, Romance",105,PG-13,Moderate,Mild,Mild,Moderate,Mild
Hitman's Wife's Bodyguard,2021,6.1,55699,"Action, Comedy, Crime",100,R,Moderate,Severe,Severe,Mild,Moderate
Ron's Gone Wrong,2021,6.8,577,"Animation, Adventure, Comedy",106,PG,Mild,None,Mild,None,None
Back to the Future,1985,8.5,1116887,"Adventure, Comedy, Sci-Fi",116,PG,Mild,Mild,Moderate,Mild,Mild
Young Frankenstein,1974,8.0,150837,Comedy,106,PG,Mild,Mild,Mild,Mild,Mild
Halloween III: Season of the Witch,1982,5.0,47675,"Horror, Mystery, Sci-Fi",98,R,Moderate,Severe,Moderate,Mild,Severe
Avengers: Infinity War,2018,8.4,930455,"Action, Adventure, Sci-Fi",149,PG-13,None,Moderate,Mild,None,Moderate
Wind River,2017,7.7,225672,"Crime, Drama, Mystery",107,R,Moderate,Severe,Moderate,Mild,Severe
Charlie's Angels,2019,4.9,65160,"Action, Adventure, Comedy",118,PG-13,Mild,Moderate,Mild,Mild,Mild
The School of Rock,2003,7.1,291951,"Comedy, Music",109,PG-13,None,None,Mild,Mild,None
Hellraiser,1987,7.0,112058,"Horror, Thriller",94,R,Moderate,Severe,Moderate,Mild,Severe
Hall Pass,2011,5.8,122626,"Comedy, Romance",105,R,Severe,Mild,Moderate,Mild,None
Guardians of the Galaxy,2014,8.0,1097476,"Action, Adventure, Comedy",121,PG-13,Mild,Moderate,Moderate,Mild,Mild
Stillwater,2021,6.6,22560,"Crime, Drama, Thriller",139,R,Mild,Mild,Moderate,Mild,Mild
Alien,1979,8.4,826097,"Horror, Sci-Fi",117,R,Mild,Moderate,Moderate,Mild,Severe
Se7en,1995,8.6,1522727,"Crime, Drama, Mystery",127,R,Mild,Severe,Severe,Mild,Severe
Thor: Ragnarok,2017,7.9,650481,"Action, Adventure, Comedy",130,PG-13,Mild,Moderate,Mild,Mild,Mild
Tomorrow Never Dies,1997,6.5,187810,"Action, Adventure, Thriller",119,PG-13,Moderate,Moderate,Mild,Mild,Moderate
Druk,2020,7.8,113210,"Comedy, Drama",117,R,Mild,Mild,Mild,Severe,Mild
Captain Marvel,2019,6.8,494727,"Action, Adventure, Sci-Fi",123,PG-13,None,Mild,Mild,Mild,Mild
Gerald's Game,2017,6.5,99011,"Drama, Horror, Thriller",103,R,Moderate,Severe,Moderate,Mild,Severe
Jurassic Park,1993,8.1,912095,"Action, Adventure, Sci-Fi",127,PG-13,None,Moderate,Mild,Mild,Moderate
Something Borrowed,2011,5.9,59926,"Comedy, Drama, Romance",112,PG-13,Mild,None,Mild,Mild,None
No Country for Old Men,2007,8.1,904190,"Crime, Drama, Thriller",122,R,None,Severe,Mild,Mild,Severe
Blade Runner,1982,8.1,724347,"Action, Sci-Fi, Thriller",117,R,Moderate,Moderate,Mild,Mild,Moderate
The Forever Purge,2021,5.4,21528,"Action, Horror, Thriller",103,R,None,Severe,Severe,Mild,Severe
John Wick,2014,7.4,579797,"Action, Crime, Thriller",101,R,None,Severe,Severe,Mild,Moderate
The Girl with the Dragon Tattoo,2011,7.8,441674,"Crime, Drama, Mystery",158,R,Severe,Severe,Moderate,Mild,Severe
She's All That,1999,5.9,91482,"Comedy, Romance",95,PG-13,Mild,None,Mild,Moderate,None
The Thing,1982,8.1,393279,"Horror, Mystery, Sci-Fi",109,R,None,Severe,Moderate,Mild,Severe
Jaws,1975,8.0,566686,"Adventure, Thriller",124,PG,Mild,Severe,Moderate,Mild,Severe
Star Wars: Episode IX - The Rise of Skywalker,2019,6.5,405145,"Action, Adventure, Fantasy",141,PG-13,None,Moderate,Mild,None,Moderate
The Gentlemen,2019,7.8,283528,"Action, Comedy, Crime",113,R,Mild,Moderate,Severe,Moderate,Mild
Halloween 4: The Return of Michael Myers,1988,5.9,47457,"Horror, Thriller",88,R,Mild,Severe,Moderate,Mild,Severe
Schindler's List,1993,8.9,1270601,"Biography, Drama, History",195,R,Severe,Severe,Moderate,Moderate,Severe
The Blue Lagoon,1980,5.8,66456,"Adventure, Drama, Romance",104,R,Severe,Mild,None,Mild,Mild
Little Shop of Horrors,1986,7.0,70464,"Comedy, Horror, Musical",94,PG-13,Mild,Moderate,Mild,Mild,Moderate
The Holiday,2006,6.9,262212,"Comedy, Romance",136,PG-13,Mild,None,Moderate,Mild,None
Cats,2019,2.7,46903,"Comedy, Drama, Family",110,PG,Moderate,Mild,None,Mild,Severe
The Dark Knight Rises,2012,8.4,1583199,Action,164,PG-13,Mild,Moderate,Mild,Mild,Moderate
The Little Things,2021,6.3,77478,"Crime, Drama, Mystery",128,R,Mild,Moderate,Moderate,Mild,Moderate
The Evil Dead,1981,7.5,196137,Horror,85,R,Moderate,Severe,Mild,Mild,Severe
A Quiet Place,2018,7.5,483032,"Drama, Horror, Sci-Fi",90,PG-13,None,Moderate,None,None,Severe
The Dead Don't Die,2019,5.5,70362,"Comedy, Fantasy, Horror",104,R,Mild,Moderate,Moderate,None,Mild
Army of the Dead,2021,5.8,141683,"Action, Crime, Horror",148,R,Mild,Severe,Severe,Mild,Severe
A Knight's Tale,2001,6.9,178789,"Action, Adventure, Romance",132,PG-13,Mild,Mild,Mild,Mild,Mild
Dawn of the Dead,2004,7.3,246628,"Action, Horror",101,R,Moderate,Severe,Severe,Mild,Severe
Fifty Shades of Grey,2015,4.1,307228,"Drama, Romance, Thriller",125,R,Severe,Moderate,Moderate,Mild,Moderate
Emma.,2020,6.7,41884,"Comedy, Drama, Romance",124,PG,Mild,None,None,None,None
Arrival,2016,7.9,637442,"Drama, Sci-Fi",116,PG-13,None,Mild,Mild,None,Mild
Spider-Man: Homecoming,2017,7.4,558218,"Action, Adventure, Sci-Fi",133,PG-13,Mild,Mild,Mild,None,Mild
Everybody's Talking About Jamie,2021,6.2,4839,"Biography, Comedy, Drama",115,PG-13,Mild,None,Mild,None,None
Ready Player One,2018,7.4,399256,"Action, Adventure, Sci-Fi",140,PG-13,Mild,Moderate,Moderate,None,Mild
Edward Scissorhands,1990,7.9,462968,"Drama, Fantasy, Romance",105,PG-13,Mild,Mild,Mild,Mild,Moderate
The Internship,2013,6.3,197064,Comedy,119,PG-13,Moderate,Mild,Mild,Moderate,None
Dracula,1992,7.4,204366,Horror,128,R,Severe,Severe,Mild,Mild,Severe
Anna,2019,6.6,72386,"Action, Thriller",118,R,Moderate,Severe,Moderate,Mild,Moderate
The Exorcist,1973,8.0,377673,Horror,122,R,Moderate,Moderate,Severe,Mild,Severe
Call Me by Your Name,2017,7.9,238038,"Drama, Romance",132,R,Moderate,None,Mild,Mild,None
Get Out,2017,7.7,533280,"Horror, Mystery, Thriller",104,R,Mild,Severe,Severe,Mild,Severe
Spider-Man 3,2007,6.2,526291,"Action, Adventure, Sci-Fi",139,PG-13,Mild,Moderate,Mild,Mild,Moderate
The Craft,1996,6.4,86470,"Drama, Fantasy, Horror",101,R,Mild,Moderate,Mild,Mild,Moderate
