Name,Date,Rate,Votes,Genre,Duration,Certificate,Nudity,Violence,Profanity,Alcohol,Frightening
To All the Boys I've Loved Before,2018,7.1,97268,"Comedy, Drama, Romance",99,PG-13,Mild,None,Mild,None,None
Meet the Parents,2000,7.0,321345,"Comedy, Romance",108,PG-13,Mild,Mild,Moderate,Mild,None
Can't Buy Me Love,1987,6.8,35309,"Comedy, Drama, Romance",94,PG-13,Mild,Mild,Moderate,Moderate,Mild
Mainstream,2020,4.9,1917,"Comedy, Drama",94,R,Moderate,None,Severe,Mild,Mild
The Map of Tiny Perfect Things,2021,6.8,17466,"Comedy, Fantasy, Romance",98,PG-13,None,None,Mild,Mild,None
Exorcist II: The Heretic,1977,3.8,23604,Horror,117,R,Mild,Moderate,Mild,None,Moderate
American Reunion,2012,6.7,208335,Comedy,113,R,Severe,Mild,Severe,Moderate,None
The Lake House,2006,6.8,144977,"Drama, Fantasy, Romance",99,PG,None,None,None,Mild,None
Robin Hood,1973,7.6,120934,"Animation, Adventure, Comedy",83,G,None,Mild,None,Mild,Mild
An Officer and a Gentleman,1982,7.0,54095,"Drama, Romance",124,R,Moderate,Moderate,Severe,Mild,Moderate
The Jackal,1997,6.4,112644,"Action, Crime, Drama",124,R,Mild,Severe,Severe,Mild,Moderate
The Artist,2011,7.9,236266,"Comedy, Drama, Romance",100,PG-13,None,Mild,None,Mild,Mild
Creepshow 2,1987,6.1,24196,"Fantasy, Horror",92,R,Moderate,Severe,Moderate,Mild,Moderate
The Lego Movie 2: The Second Part,2019,6.6,60570,"Animation, Adventure, Comedy",107,PG,None,Mild,None,None,Mild
Wildlife,2018,6.8,27185,Drama,105,PG-13,Mild,Mild,Mild,Mild,Mild
The Wolfman,2010,5.8,104930,"Drama, Fantasy, Horror",103,R,Mild,Severe,Mild,Moderate,Moderate
Killing Me Softly,2002,5.5,17793,"Drama, Mystery, Romance",100,R,Severe,Mild,None,Mild,Mild
Gummo,1997,6.7,33706,"Comedy, Drama",89,R,Moderate,Moderate,Severe,Moderate,Severe
Side Effects,2013,7.1,184728,"Crime, Drama, Mystery",106,R,Moderate,Mild,Moderate,Mild,Mild
The Life of David Gale,2003,7.5,116309,"Crime, Drama, Thriller",130,R,Moderate,Mild,Moderate,Mild,Moderate
Parenthood,1989,7.0,47523,"Comedy, Drama",124,PG-13,Moderate,Mild,Mild,Mild,Mild
Life in a Year,2020,6.2,7100,"Drama, Romance",107,PG-13,Mild,None,Mild,Mild,Mild
Countdown,2019,5.4,31266,"Horror, Thriller",90,PG-13,Mild,Moderate,Mild,Mild,Severe
The Remains of the Day,1993,7.8,70212,"Drama, Romance",134,PG,None,None,None,Mild,None
The Family,2013,6.3,113996,"Comedy, Crime, Thriller",111,R,Mild,Severe,Moderate,Moderate,Moderate
Jiu Jitsu,2020,2.9,7602,"Action, Sci-Fi, Thriller",102,R,None,Moderate,Mild,None,Moderate
The Great Wall,2016,5.9,129749,"Action, Adventure, Fantasy",103,PG-13,None,Moderate,Mild,None,Moderate
Good Luck Chuck,2007,5.6,88338,"Comedy, Romance",101,R,Severe,Mild,Severe,Mild,None
War Horse,2011,7.2,152238,"Action, Adventure, Drama",146,PG-13,None,Moderate,Mild,Mild,Moderate
Artemis Fowl,2020,4.2,25963,"Adventure, Family, Fantasy",95,PG,None,Mild,None,None,Mild
Ferdinand,2017,6.7,52919,"Animation, Adventure, Comedy",108,PG,None,Mild,None,None,Mild
Any Given Sunday,1999,6.9,115726,"Drama, Sport",162,R,Moderate,Severe,Severe,Moderate,Mild
We Summon the Darkness,2019,5.2,9100,"Horror, Music, Thriller",91,R,None,Moderate,Severe,Moderate,Moderate
The Secret Life of Pets 2,2019,6.5,56845,"Animation, Adventure, Comedy",86,PG,None,Mild,Mild,None,Mild
Bachelor Party,1984,6.3,38481,Comedy,105,R,Moderate,None,Moderate,Moderate,None
Akinjeon,2019,6.9,10643,"Action, Crime, Drama",109,R,None,Severe,Severe,Moderate,Moderate
Burlesque,2010,6.4,82408,"Drama, Music, Musical",119,PG-13,Mild,None,Mild,Moderate,None
Jodaeiye Nader az Simin,2011,8.3,232684,Drama,123,PG-13,None,Mild,Mild,None,Mild
Mudbound,2017,7.4,46246,"Drama, War",134,R,Moderate,Severe,Severe,Moderate,Severe
Eragon,2006,5.1,124300,"Action, Adventure, Family",104,PG,None,Mild,None,None,Mild
Z,1969,8.3,25750,"Crime, Drama, History",127,PG-13,Mild,Moderate,Mild,Mild,Mild
